_H:	$word	$phones
_D:	"abomasus"	"~aa_b.uh_uu.'m_e_i.s_uh_s%a"
_D:	"abominable"	"uh.'b_o_m.i.n_uh.b_uh_l%c"
_D:	"abominableness"	"uh.'b_o_m.uh.n_uh.b_uh_l.n_e_s%a"
_D:	"abominably"	"uh.'b_o.m_i.n_uh.b_l_i%d"
_D:	"abominate"	"uh.'b_o_m.i.~n_e_i_t%b"
_D:	"abomination"	"uh.~b_o_m.i.'n_e_i.sh_uh_n%a"
_D:	"aboon"	"uh.'b_uu_uu_n%dg"
_D:	"aboral"	"aa_b.'aw_r.uh_l%c"
_D:	"aborally"	"aa.'b_aw_r.uh.l_i%d"
_D:	"aboriginal"	"~aa_b.uh.'r_i_j.i.n_uh_l%ca"
_D:	"aboriginally"	"~aa_b.uh.'r_i_j.i.n_uh.l_i%d"
_D:	"aborigine"	"aa_b.uh.'r_i_j.i.~n_i%a"
_D:	"aborning"	"uh.'b_aw_r.n_i_ng%dc"
_D:	"abort"	"uh.'b_aw_r_t%ba"
_D:	"aborter"	"uh.'b_aw_r.t_uh_r%ca"
_D:	"aborticide"	"uh.'b_aw_r.t_i.~s_ah_i_d%a"
_D:	"abortifacient"	"uh.~b_aw_r.t_i.'f_e_i.sh_uh_n_t%ca"
_D:	"abortion"	"uh.'b_aw_r.sh_uh_n%a"
_D:	"abortionist"	"uh.'b_aw_r.sh_uh.n_i_s_t%a"
_D:	"abortive"	"uh.'b_aw_r.t_i_v%c"
_D:	"abortively"	"uh.'b_aw_r.t_i_v.l_i%d"
_D:	"abortus"	"uh.'b_aw_r.t_uh_s%a"
_D:	"abought"	"uh.'b_ah_uu_t%b"
_D:	"aboulia"	"uh.'b_uu.l_i.uh%a"
_D:	"abound"	"uh.'b_ah_uu_n_d%b"
_D:	"about"	"uh.'b_aa_u_t%dgc"
_D:	"above"	"uh.'b_a_v%dgca"
_D:	"abovo"	"aa_b.'uh_uu.v_uh_uu%j"
_D:	"abox"	"uh.'b_o_k_s%c"
_D:	"abracadabra"	"~aa_b.r_uh.k_uh.'d_aa_b.r_uh%a"
_D:	"abradant"	"uh.'b_r_e_i_d.uh_n_t%ca"
_D:	"abrade"	"uh.'b_r_e_i_d%b"
_D:	"abraham"	"'e_i.b_r_uh.h_aa_m%a"
_D:	"abram"	"'e_i.b_r_uh_m%a"
_D:	"abramson"	"'e_i.b_r_uh_m.s_uh_n%a"
_D:	"abranchial"	"e_i.'b_r_aa_ng.k_i.uh_l%j"
_D:	"abranchiate"	"e_i.'b_r_aa_ng.k_i.e_i_t%c"
_D:	"abraser"	"uh.'b_r_e_i.s_uh_r%a"
_D:	"abrasion"	"uh.'b_r_e_i.zh_uh_n%a"
_D:	"abrasive"	"uh.'b_r_e_i.s_i_v%ac"
_D:	"abraxas"	"uh.'b_r_aa_k.s_uh_s%a"
_D:	"abrazo"	"aa.'b_r_ar.th_uh_uu%a"
_D:	"abreact"	"~aa_b.r_i.'aa_k_t%b"
_D:	"abreaction"	"~aa_b.r_i.'aa_k.sh_uh_n%a"
_D:	"abreast"	"uh.'b_r_e_s_t%dc"
_D:	"abridge"	"uh.'b_r_i_j%b"
_D:	"abridgment"	"uh.'b_r_i_j.m_uh_n_t%a"
_D:	"abroach"	"uh.'b_r_uh_uu_ch%dc"
_D:	"abroad"	"uh.'b_r_aw_d%d"
_D:	"abrogable"	"'aa_b.r_uh.g_uh.b_uh_l%c"
_D:	"abrogate"	"'aa_b.r_uh.~g_e_i_t%b"
_D:	"abrupt"	"uh.'b_r_a_p_t%c"
_D:	"abruption"	"uh.'b_r_a_p.sh_uh_n%a"
_D:	"abruptly"	"uh.'b_r_a_p_t.l_i%d"
_D:	"absalom"	"'aa_b.s_uh.l_uh_m%ca"
_D:	"abscess"	"'aa_b.s_e_s%a"
_D:	"abscind"	"aa_b.'s_i_n_d%b"
_D:	"abscise"	"aa_b.'s_ah_i_z%b"
_D:	"abscissa"	"aa_b.'s_i_s.uh%a"
_D:	"abscission"	"aa_b.'s_i_zh.uh_n%a"
_D:	"abscond"	"aa_b.'s_k_o_n_d%b"
_D:	"absconder"	"aa_b.'s_k_o_n.d_uh_r%ca"
_D:	"abseil"	"'aa_b.s_e_i_l%ab"
_D:	"absence"	"'aa_b.s_uh_n_s%a"
_D:	"absent"	"'aa_b.s_uh_n_t%bc"
_D:	"absent/aj"	"'aa_b.s_uh_n_t%j"
_D:	"absentation"	"~aa_b.s_uh_n.'t_e_i.sh_uh_n%a"
_D:	"absentee"	"~aa_b.s_uh_n.'t_ee%a"
_D:	"absenteeism"	"aa_b.s_uh_n.'t_ee.i.z_m%a"
_D:	"absentia"	"aa_b.'s_e_n.sh_uh%a"
_D:	"absently"	"'aa_b.s_uh_n_t.l_i%d"
_D:	"absentminded"	"'aa_b.s_uh_n_t.'m_ah_i_n.d_i_d%bc"
_D:	"absentmindedly"	"'aa_b.s_uh_n_t.'m_ah_i_n.d_i_d.l_i%d"
_D:	"absent/v"	"aa_b.'s_e_n_t%j"
_D:	"absinthe"	"'aa_b.s_aa_n_th%a"
_D:	"absinthism"	"'aa_b.s_aa_n.~th_i_z.uh_m%a"
_D:	"absitomen"	"'aa_b.s_i_t.'uh_uu.m_e_n%j"
_D:	"absolute"	"'aa_b.s_uh.~l_uu_t%ca"
_D:	"absolutely"	"~aa_b.s_uh.'l_uu_t.l_i%di"
_D:	"absolution"	"~aa_b.s_uh.'l_uu.sh_uh_n%a"
_D:	"absolutism"	"'aa_b.s_uh.l_uu.~t_i_z.uh_m%a"
_D:	"absolutistic"	"aa_b.s_uh_l.uu.'t_i.s_t_i_k%c"
